Match Number ,Team Number,Autozone Totes,Moved Into Auto Zone,Bins Retrieved from Step,Stacks,Binned Stacks,Noodled Stacks,Coop Totes Placed,Intake Human,Intake Landfill,Number of Capped Stacks 1,Number of Capped Stacks 2,Number of Capped Stacks 3,Number of Capped Stacks 4,Number of Capped Stacks 5,Number of Capped Stacks 6,Number of Stacks 1,Number of Stacks 2,Number of Stacks 3,Number of Stacks 4,Number of Stacks 5,Number of Stacks 6
45,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,3256,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
46,1868,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,1868,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,973,0,0,0,3,3,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
46,670,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,399,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
46,3309,0,0,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0
47,3859,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,115,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2
47,2135,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
47,841,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
47,5026,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,2073,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
48,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,399,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
48,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,4543,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
48,649,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
48,2085,0,0,0,4,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
48,3309,0,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
49,1868,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,670,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
49,968,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
49,1836,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,846,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
