Match Number,Team Number,Autonomous Path,Auto Cross Line,Auto Switch Cubes,Auto Scale Cubes,Own Switch Cubes Teleop,Scale Cubes Teleop,Opponent Switch Cubes Teleop,Exchange Cubes,Single Climb,Climb + 1 Buddy,Climb + 2 Buddies,Played Defense
5,2073,"[[38.861328125,356.625],[38.421875,356.625],[37.982421875,356.3125],[37.455078125,356],[37.015625,355.53125],[36.48828125,354.4375],[35.345703125,339.125],[36.3125,316.625],[37.015625,301.3125],[39.564453125,286.15625],[42.11328125,271],[44.046875,256.46875],[45.98046875,245.84375],[47.826171875,236.9375],[48.79296875,230.0625],[50.19921875,225.21875],[51.341796875,220.6875],[52.8359375,215.53125],[54.330078125,210.53125],[55.736328125,205.375],[56.703125,201],[57.23046875,197.875],[57.669921875,194.90625],[58.373046875,192.09375],[59.251953125,189.4375],[60.39453125,186.625],[61.888671875,183.8125],[63.998046875,180.6875],[67.689453125,177.25],[72.875,173.96875],[78.763671875,171.15625],[84.564453125,169.28125],[89.92578125,168.5],[94.408203125,168.1875],[97.748046875,168.34375],[100.296875,168.8125],[101.87890625,169.4375],[102.7578125,169.75],[103.109375,170.0625],[103.4609375,170.21875]]",1,0,0,0,3,0,0,0,0,0,0
5,3250,"[[154,360],[154,356],[154,350],[154,343],[154,336],[154,328],[154,321],[153,314],[153,309],[152,305],[151,301],[150,298],[150,294],[149,291],[148,287],[147,284],[146,281],[145,278],[145,275],[144,272],[144,270],[144,267],[144,266],[143,264],[142,262],[142,261],[140,259],[138,257],[136,255],[133,254],[129,253],[126,252],[123,251],[121,251],[119,250],[117,249],[115,248],[112,246],[111,246],[107,244],[105,244],[103,243],[102,242],[101,242],[101,241],[101,240],[101,238],[101,237],[101,235],[101,233],[101,230],[101,227],[101,224],[100,220],[98,216],[98,213],[97,211],[96,208],[96,205],[96,202],[98,209],[98,212],[98,216],[98,220],[98,223],[98,227],[98,230],[98,233],[98,236],[98,238],[98,240],[99,242],[100,244],[101,245],[103,246],[105,247],[106,248],[108,249],[111,249],[112,250],[115,251],[117,251],[120,251],[122,251],[123,251],[125,251],[127,251],[129,251],[130,251],[131,250],[135,245]]",0,1,0,0,5,0,0,1,0,0,0
5,5437,[],1,1,0,0,2,0,0,0,0,0,0
5,7193,"[[57,339],[57,338],[57,336],[57,335],[57,333],[57,332],[57,330],[57,329],[57,328],[57,327],[57,325],[57,324],[57,322],[57,320],[57,319],[57,317],[57,315],[57,313],[57,310],[57,308],[57,307],[57,305],[57,303],[57,302],[57,301],[57,300],[57,299],[57,297],[57,296],[57,295],[57,294],[57,293],[57,292],[57,291],[57,290],[57,289],[57,288],[57,287],[57,285],[57,284],[57,283],[57,282],[57,281],[57,280],[57,279],[57,278],[57,277],[56,277],[55,276],[54,276],[53,275],[52,275],[51,275],[50,274],[49,274],[48,273],[47,273],[46,273],[45,273],[44,272],[43,272],[42,272],[41,272],[40,272],[38,271],[37,271],[36,271],[34,271],[32,271],[30,271],[29,271],[27,271],[26,271],[25,271],[24,271],[23,271],[23,270],[22,270],[21,270],[20,269],[18,269],[17,269],[16,269],[14,269],[13,269],[12,268],[11,268],[10,268],[9,268],[8,268],[6,268],[4,268],[2,268],[1,268],[-1,268],[-3,268],[-5,268],[-8,268],[-9,268],[-11,268],[-12,268],[-13,268],[-13,267],[-14,267],[-15,267],[-15,264]]",0,0,0,0,0,0,8,0,0,0,0
5,3792,"[[236,334],[236,331],[237,320],[238,306],[239,299],[239,293],[240,276],[240,269],[241,262],[241,254],[241,247],[241,240],[241,233],[241,225],[242,219],[242,214],[244,208],[245,202],[246,198],[247,194],[250,188],[252,185],[254,182],[255,181],[256,180],[257,177],[258,174],[258,173],[258,172],[258,171],[258,170],[258,169],[257,169],[256,169],[255,169],[253,169],[250,169],[249,169],[248,169],[247,169],[246,169],[246,170]]",1,0,0,0,2,0,2,0,0,0,0
6,6652,"[[45.770484924316406,347.50189208984375],[47.223960876464844,346.741943359375],[59.02281188964844,335.49407958984375],[68.68418884277344,316.34228515625],[70.65066528320312,300.6865234375],[72.8736343383789,282.750732421875],[73.72862243652344,273.17486572265625],[75.43860626220703,250.67913818359375],[75.78060150146484,229.095458984375],[73.89962005615234,208.57568359375],[71.33465576171875,200.519775390625],[69.36817932128906,195.9598388671875],[68.34219360351562,193.223876953125],[66.97421264648438,191.85589599609375],[65.3497314453125,190.4879150390625],[64.58023834228516,189.7279052734375],[61.75877380371094,186.8399658203125],[59.45030975341797,184.407958984375],[58.08232116699219,183.343994140625]]",1,0,0,0,0,0,0,0,0,0,1
6,6459,"[[235,341],[235,337],[235,332],[235,325],[235,318],[235,310],[235,300],[235,291],[235,282],[234,275],[234,266],[234,259],[234,251],[234,243],[234,234],[234,226],[234,218],[234,211],[234,204],[235,196],[235,189],[235,183],[235,178],[235,173],[235,169],[235,165],[235,162],[235,160]]",1,0,0,3,0,0,0,0,0,0,0
6,3646,"[[235,359],[235,356],[235,353],[235,349],[235,344],[235,338],[235,332],[235,326],[234,321],[234,316],[234,310],[234,305],[234,298],[234,292],[234,285],[234,278],[234,271],[234,262],[234,254],[234,247],[234,240],[234,233],[235,226],[237,219],[238,212],[239,206],[241,200],[241,193],[242,187],[244,180],[244,175],[245,169],[245,163],[246,157],[247,151],[247,144],[247,138],[247,132],[247,126],[247,121],[247,116],[247,112],[247,109],[247,106],[247,103],[247,100],[247,97],[247,93],[247,89],[247,86],[247,83],[246,82],[245,80],[245,79],[245,78],[244,76],[244,75],[244,74],[242,74],[242,72],[241,71],[240,70],[239,69],[238,69],[237,68],[235,67],[234,66],[233,65],[231,65],[230,64],[229,64],[228,64],[228,63],[227,63],[227,62],[227,61],[226,61],[226,60],[226,59],[226,58],[226,57],[225,57],[225,56],[225,55],[225,54],[224,54],[224,53],[224,52],[224,51],[223,50],[223,49],[223,48],[223,47],[223,46],[222,46],[222,45],[222,44],[222,43],[222,42],[221,42],[221,41],[221,40],[221,39],[222,40],[222,41],[223,42],[223,43],[223,44],[224,45],[224,46],[224,47],[224,49],[224,50],[224,51],[224,53],[224,54],[224,56],[224,58],[224,60],[224,61],[224,63],[224,65],[224,67],[224,69],[224,71],[224,74],[223,76],[222,79],[221,81],[220,83],[219,86],[219,88],[217,90],[216,93],[215,95],[214,97],[212,99],[211,101],[209,103],[207,104],[205,106],[203,108],[201,110],[199,111],[198,113],[197,114],[196,115],[195,115],[195,116],[195,117],[195,118],[194,118],[194,119],[194,120],[193,120],[193,121],[194,120],[194,119],[195,117],[195,116],[196,115],[197,114],[198,112],[198,111],[199,110],[200,108],[201,107],[202,105],[203,104],[204,102],[205,100],[207,98],[208,96],[209,93],[210,90],[211,88],[212,85],[213,83],[214,80],[215,77],[215,74],[216,71],[217,67],[218,63],[219,60],[220,56],[221,53],[222,50],[223,48],[223,45],[224,43],[224,41],[225,39],[226,37],[226,35],[226,33],[226,32],[226,31],[226,30],[226,29],[225,28],[225,27],[224,27],[224,26]]",0,0,2,0,1,3,2,1,0,0,0
6,4980,"[[52,310],[52,308],[52,304],[52,301],[52,297],[52,290],[52,286],[52,281],[52,273],[52,268],[53,261],[53,257],[53,250],[53,247],[54,242],[54,240],[54,235],[54,233],[55,227],[55,225],[55,222],[55,220],[55,217],[55,216],[55,215],[55,214],[55,213],[55,212]]",1,0,0,1,2,3,0,0,0,0,0
6,2352,"[[76,352],[76,350],[76,347],[76,344],[76,342],[76,339],[76,338],[76,336],[76,335],[76,333],[76,331],[76,330],[76,328],[76,326],[76,325],[76,323],[76,322],[76,321],[76,320],[76,319],[76,317],[76,316],[76,315],[77,314],[77,313],[77,311],[77,310],[77,308],[77,307],[78,306],[78,304],[78,303],[78,302],[79,301],[79,299],[79,298],[80,297],[80,296],[80,295],[80,294],[80,292],[80,291],[81,290],[81,289],[81,288],[82,288],[82,287],[82,286],[83,285],[83,284],[84,284],[84,283],[84,282],[85,281],[85,280],[85,279],[85,278],[85,277],[86,276],[86,275],[87,274],[87,273],[88,272],[88,271],[89,270],[90,269],[91,269],[92,269],[94,269],[96,269],[100,269],[104,269],[108,269],[113,269],[119,269],[125,270],[133,271],[140,271],[147,272],[153,272],[158,273],[163,273],[168,273],[171,273],[174,273],[177,273],[179,273],[181,273],[182,273],[184,273],[185,273],[186,273],[187,273],[188,272],[189,272],[190,271],[191,270],[191,268],[192,265],[192,262],[192,259],[192,256],[192,253],[192,250],[192,246],[192,241],[192,236],[192,232],[192,228],[192,224],[192,220],[192,215],[192,211],[192,206],[192,203],[192,200],[192,198],[192,197],[192,196],[192,195],[191,195],[190,195],[189,195]]",1,0,0,2,0,2,6,0,0,0,0
