Match Number,Team Number,Autonomous Path,Auto Cross Line,Auto Switch Cubes,Auto Scale Cubes,Own Switch Cubes Teleop,Scale Cubes Teleop,Opponent Switch Cubes Teleop,Exchange Cubes,Single Climb,Climb + 1 Buddy,Climb + 2 Buddies,Played Defense
4,846,"[[248,197],[243,303],[242,298],[241,291],[241,285],[241,280],[240,276],[240,273],[240,268],[240,263],[241,257],[241,251],[242,245],[243,239],[243,233],[244,225],[245,216],[246,208],[247,201],[247,195],[247,188],[247,182],[247,176],[247,169],[247,162],[247,157],[246,152],[245,147],[244,141],[244,137],[243,133],[243,129],[241,125],[240,119],[239,113],[238,107],[238,103],[237,99],[236,96],[235,92],[233,88],[232,83],[231,78],[230,75],[230,73],[230,71],[230,69],[230,67],[230,65],[230,63],[230,61],[229,59],[229,57],[229,55],[228,53],[227,51],[226,49],[225,47],[225,48],[225,51],[224,58],[219,67],[214,76],[209,87],[205,97],[201,106],[198,112],[197,117],[197,119],[197,120],[197,121],[197,119],[197,116],[197,112],[197,108],[197,102],[198,96],[199,91],[200,86],[200,81],[201,76],[201,70],[201,64],[201,60],[202,56],[203,54],[204,53],[205,53],[206,53],[207,55]]",1,0,1,0,3,0,0,0,0,0,0
5,4488,"[[52,343],[52,340],[52,336],[51,330],[49,325],[47,319],[46,313],[44,307],[44,302],[43,297],[43,292],[43,286],[42,282],[41,277],[41,272],[40,268],[39,263],[38,258],[37,254],[37,250],[36,246],[36,242],[35,237],[35,232],[34,227],[33,222],[32,217],[32,212],[32,206],[31,200],[31,195],[31,189],[31,183],[30,179],[30,173],[30,169],[30,165],[30,161],[30,157],[30,154],[30,151],[30,147],[30,145],[30,142],[30,140],[31,137],[32,134],[33,131],[34,128],[36,125],[37,121],[38,119],[39,116],[40,114],[42,111],[44,109],[46,107],[47,105],[49,104],[51,103],[53,102],[55,102],[57,102],[59,101],[62,101],[65,101],[68,101],[71,101],[75,100],[79,100],[82,100],[84,100],[87,100],[90,100],[94,100],[97,100],[100,100],[104,100],[107,100],[110,100],[114,100],[117,101],[120,101],[123,102],[126,102],[129,102],[132,102],[136,102],[139,102],[143,102],[146,102],[150,102],[154,102],[158,102],[163,102],[167,101],[172,101],[176,101],[180,100],[184,100],[187,99],[191,99],[195,98],[199,97],[202,96],[205,96],[207,95],[210,94],[211,93],[213,93],[214,92],[215,91],[216,90],[217,89],[218,88],[219,86],[219,85],[220,84],[220,82],[220,80],[221,78],[221,76],[221,74],[222,71],[222,69],[223,67],[223,64],[224,61],[224,59],[224,57],[224,55],[224,53],[224,51],[224,49],[224,47],[224,44],[224,42],[224,39],[224,36],[224,34],[224,32],[224,29],[224,28],[224,26],[224,24],[224,22],[224,21],[224,20]]",1,0,1,0,4,0,0,0,0,1,0
5,5818,"[[144,317],[144,312],[144,307],[144,301],[144,296],[144,289],[143,284],[142,279],[141,274],[141,270],[141,266],[141,262],[141,259],[141,256],[141,254],[141,252],[141,251],[141,249],[141,248],[141,247]]",0,1,0,0,0,0,3,0,0,0,1
5,2557,"[[245,360],[245,355],[246,347],[247,338],[247,330],[248,323],[249,316],[249,310],[249,303],[250,297],[250,289],[250,283],[250,277],[251,271],[252,266],[252,261],[253,257],[253,252],[254,247],[254,243],[254,240],[254,236],[254,233],[254,231],[254,229],[254,228],[254,227],[254,226],[254,225],[254,224],[253,224],[251,223],[249,223],[246,223],[244,222],[241,222],[238,221],[233,221],[227,221],[222,221],[217,221],[213,221],[209,221],[207,221],[205,221],[204,221],[207,221]]",1,1,0,0,1,4,4,0,0,1,0
5,3478,"[[161,312],[167,303],[171,294],[174,285],[177,275],[179,265],[180,259],[181,250],[183,242],[184,234],[186,226],[187,217],[188,210],[191,204],[192,198],[194,192],[195,187],[196,182],[198,177],[202,169]]",1,1,0,0,5,0,0,0,0,1,0
5,842,"[[181,349],[186,342],[193,333],[198,326],[203,319],[208,310],[213,299],[216,287],[219,273],[222,259],[226,245],[230,232],[232,221],[233,212],[234,201],[234,190],[234,179],[234,169],[234,159],[234,149],[234,140],[234,132],[234,125],[233,117],[233,110],[231,102],[231,95],[230,86],[230,77],[230,68],[230,59],[229,51],[228,45],[226,40],[225,37],[224,35]]",1,0,2,0,6,0,0,0,0,0,0
5,971,"[[69,329],[69,324],[69,318],[69,313],[69,308],[69,304],[69,300],[69,293],[69,280],[69,264],[69,255],[69,248],[69,242],[69,237],[69,232],[68,228],[66,220],[66,214],[65,208],[63,203],[63,200],[63,199],[62,198],[62,196],[62,194],[62,191],[62,190],[62,188],[62,187],[59,184]]",1,0,0,0,4,0,0,1,0,0,0
6,1538,"[[64,326],[64,320],[64,311],[64,302],[64,292],[64,281],[63,270],[63,258],[63,247],[63,236],[63,224],[63,213],[63,203],[63,194],[63,187],[63,180],[63,173],[64,166],[65,160],[67,154],[68,148],[69,141],[71,135],[72,128],[72,122],[73,116],[74,111],[75,106],[75,101],[76,95],[76,89],[76,84],[76,79],[76,74],[76,69],[76,65],[76,61],[76,57],[77,53],[78,45],[79,41],[79,39],[80,37],[80,35],[81,35],[81,34]]",1,0,2,1,4,0,0,1,0,0,0
6,3310,[],0,0,3,0,5,2,0,1,0,0,0
6,1072,"[[131,335],[136,332],[144,326],[152,318],[162,308],[171,300],[176,293],[181,286],[187,275],[193,264],[200,248],[208,231],[214,218],[216,209],[217,203],[219,197],[219,194],[219,192]]",1,0,0,2,1,0,0,0,0,0,0
6,5499,"[[227,338],[227,334],[227,326],[227,318],[228,311],[229,303],[229,296],[229,291],[229,288],[229,287]]",1,0,0,3,0,3,5,1,0,0,0
6,5026,[],1,0,0,0,3,0,0,1,0,0,0
6,968,"[[209,319],[209,313],[208,305],[208,297],[207,290],[207,285],[206,281],[206,274],[206,268],[206,261],[206,256],[206,253],[206,252],[206,251],[203,251],[200,251],[197,252],[191,255],[186,257],[180,259],[172,261],[162,263],[152,264],[144,266],[136,267],[128,268],[123,269],[118,269],[114,269],[111,269],[107,267],[102,263],[99,262],[95,259],[92,259],[91,258],[90,256],[90,255],[90,254],[90,253],[90,252],[90,251],[90,248],[90,244],[90,240],[90,235],[90,232],[90,230],[90,229],[90,228],[90,226],[90,222],[90,218],[90,215],[90,212],[90,211],[90,210],[90,209],[90,208],[90,207],[90,206],[91,206],[92,206],[93,206],[94,207],[95,211],[98,216],[99,223],[102,229],[104,233],[106,237],[107,241],[108,245],[109,250],[110,254],[110,257],[111,259],[112,259],[113,260],[115,260],[117,260],[119,260],[121,260],[124,260],[128,260],[135,260],[140,259],[144,257],[147,255],[148,255],[149,255],[150,255],[151,255],[152,255],[152,254],[152,253],[151,252],[149,248],[147,245],[145,241],[144,237],[143,233],[143,230],[143,228],[143,226],[142,226],[142,227],[142,229],[142,234],[142,240],[139,248],[136,257],[132,264],[128,270],[125,274],[122,276],[119,277],[116,277],[113,277],[110,277],[108,275],[106,273],[102,270],[100,266],[97,262],[95,259],[92,256],[91,255],[89,252],[88,250],[86,248],[84,244],[84,240],[83,236],[82,232],[82,227],[82,223],[82,217],[82,211],[82,203],[83,195],[84,188],[87,183],[88,181],[89,180],[90,180],[91,180],[92,180]]",1,1,0,2,0,0,3,0,0,0,0
7,4388,[],1,0,0,1,3,0,0,0,0,0,0
7,3250,"[[238,355],[238,350],[238,344],[238,335],[236,327],[236,318],[236,308],[236,298],[236,288],[236,277],[236,268],[238,258],[240,249],[240,242],[242,234],[242,226],[243,219],[244,212],[244,204],[245,198],[245,193],[245,189],[245,186],[245,184],[245,183],[245,182],[245,181]]",1,0,0,3,0,0,5,0,1,0,0
7,5924,"[[119,304],[119,299],[118,291],[116,281],[112,273],[108,261],[104,251],[100,240],[97,229],[94,223],[93,218],[92,213],[91,208],[91,207],[91,206],[92,206]]",1,0,0,1,0,0,3,0,0,0,0
7,3309,"[[155,338],[155,335],[155,331],[155,326],[155,322],[155,318],[155,314],[155,309],[156,305],[156,301],[156,297],[157,294],[157,292],[157,290],[157,288],[158,286],[159,284],[161,281],[163,279],[165,277],[168,275],[172,272],[176,271],[179,269],[182,266],[184,262],[187,259],[188,256],[189,252],[190,247],[190,243],[190,239],[190,236],[190,233],[190,232],[190,230],[190,229]]",1,1,0,0,6,1,0,0,1,0,0
7,5012,"[[205,301],[206,290],[208,272],[210,253],[210,232],[210,213],[210,199],[210,184],[210,174],[210,167],[210,162],[209,160],[208,160]]",1,1,0,0,3,2,0,0,0,0,0
7,3476,[],0,0,0,0,5,1,0,0,1,0,0
8,2910,"[[225,306],[225,299],[227,293],[229,286],[231,278],[234,268],[237,258],[242,245],[244,237],[245,227],[247,218],[249,208],[250,200],[250,193],[250,187],[250,180],[250,175],[250,170],[250,165],[248,161],[245,157],[242,153],[239,147],[236,142],[233,137],[230,131],[228,127],[225,123],[223,118],[220,115],[218,110],[215,107],[210,104],[206,100],[201,98],[196,95],[190,93],[184,90],[177,89],[170,88],[163,87],[156,87],[147,87],[138,87],[128,89],[117,93],[108,97],[99,102],[89,109],[80,115],[74,122],[60,135],[56,143],[54,149],[52,155],[52,161],[52,167],[52,171],[56,174],[60,177],[64,179],[67,180],[70,180],[72,180],[74,180],[75,180],[76,180],[79,178]]",0,0,1,0,4,0,0,0,1,0,0
8,5803,"[[55,346],[55,342],[55,339],[54,334],[53,330],[52,326],[52,321],[52,317],[52,313],[52,308],[52,303],[52,299],[52,295],[52,290],[52,285],[52,281],[53,276],[54,273],[54,270],[55,266],[56,262],[57,261],[57,260],[57,259]]",1,0,0,0,2,0,3,0,1,0,0
8,971,"[[102,327],[102,321],[102,315],[102,310],[102,305],[102,302],[102,299],[102,295],[102,292],[102,288],[101,283],[100,279],[99,277],[99,274],[98,271],[98,266],[97,261],[97,255],[97,250],[96,246],[96,243],[95,239],[95,235],[95,231],[95,227],[94,222],[94,218],[94,217]]",1,1,0,0,6,0,0,0,0,0,0
8,846,"[[250,340],[250,333],[250,325],[250,318],[250,311],[250,305],[251,296],[251,288],[252,280],[252,271],[252,263],[252,256],[252,249],[252,242],[252,233],[252,225],[252,216],[252,209],[252,202],[252,196],[252,191],[252,185],[252,180],[252,175],[252,170],[251,165],[250,159],[248,154],[247,148],[245,142],[243,136],[242,129],[240,124],[238,118],[236,112],[233,107],[229,102],[224,98],[219,95],[213,94],[204,93],[197,92],[191,92],[182,92],[173,92],[164,92],[158,93],[151,94],[144,96],[138,97],[133,98],[128,99],[124,100],[120,100],[117,101],[114,101],[111,101],[108,101],[105,101],[103,101],[101,101],[99,101],[97,100],[95,98],[93,97],[92,95],[90,93],[90,92],[89,90],[89,89],[89,87],[88,85],[88,83],[87,80],[87,78],[87,74],[86,71],[86,68],[86,66],[85,63],[85,60],[85,58],[85,54],[85,51],[85,48],[85,45],[85,43],[85,41],[85,40],[85,39]]",1,0,1,0,4,0,0,0,1,0,0
8,5818,"[[148,312],[144,310],[140,306],[136,299],[132,292],[127,283],[124,275],[122,268],[119,262],[117,254],[115,246],[114,238],[113,229],[111,223],[110,216],[109,211],[109,206],[109,202],[109,199],[109,196],[109,194],[109,193],[109,191],[109,189],[113,198],[113,200],[111,208],[110,213],[107,219],[105,225],[103,230],[100,236],[98,241],[95,246],[93,251],[90,255],[87,258],[84,261],[82,263],[79,264],[78,265],[76,265],[75,265],[74,265],[73,265],[72,265],[72,263],[71,259],[71,255],[70,250],[70,244],[70,239],[70,234],[70,228],[70,222],[70,217],[70,212],[70,209],[70,207],[71,205],[71,204],[72,203],[72,202],[72,201],[72,196]]",0,1,0,0,0,1,1,0,1,0,1
