Team Number,Match Number,Starting Position,Hab Line 1/0,Auto # H Ship Side,Auto # H Ship Front,Auto # C Ship Side,Auto C Rkt Lvl,Auto H Rkt Lvl,Auto H Rkt Lvl [2],Auto # C Dropped,Auto # H Dropped,Tele H Ship,Tele C Ship,Tele Rocket H L1,Tele Rocket H L2,Tele Rocket H L3,Tele Rocket C L1,Tele Rocket C L2,Tele Rocket C L3,Tele Dropped C,Tele Dropped H,Def pl amt,Def pl quality,Def rec amt,Who Played D,Fouls? 0/1,Dead 0-3,Highest success,Highest attempt,Was assisted? 1/0
2830,13,R2,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
1317,13,L2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
5348,13,R2,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
503,14,L1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,3,3,0
449,14,M,0,0,1,0,0,0,0,0,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
4253,14,M,1,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
6806,14,R2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,2,2,0
51,14,R2,1,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,1,6806,0,0,3,3,0
225,14,L2,1,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3044,15,R2,1,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,2,0
1218,15,M,1,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0
3667,15,L1,1,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0
7480,15,M,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,2,0
7462,15,R2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0
3604,15,L2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,2,0,0,0,2,7480,0,0,3,3,0
1058,16,R1,0,0,0,0,0,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3624,16,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,2,2,0
2502,16,R2,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
771,16,R2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,1,1,0
1676,16,L2,1,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0
3618,16,L2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,3624,0,0,1,2,0
3542,17,M,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,3,0
7885,17,L2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,2,0
2265,17,L2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
1690,17,R2,1,0,0,0,0,2,0,0,0,0,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0
125,17,R1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,2,2,1,0,0,0,3,7885,0,0,3,3,0
175,17,M,1,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
5811,18,M,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0
3381,18,M,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0
1923,18,L1,1,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,0,1,1,0,0,1,5811,0,0,0,0,0
772,18,L2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0
245,18,L2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,3,3,0
88,18,R2,1,0,0,0,0,1,0,0,0,0,4,1,0,0,3,0,0,0,1,0,0,0,0,0,0,3,3,0
1918,19,R2,0,0,0,0,0,1,0,0,0,0,2,1,2,2,1,2,1,0,0,0,0,2,5951,0,0,0,0,0
217,19,R1,1,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0
190,19,L2,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,2,1,4,0,0,0,0,0,0,0,3,3,0
3146,19,M,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,3,1,5951,0,0,3,3,0
217,19,R1,0,0,0,0,0,2,0,0,0,0,0,1,1,2,1,2,2,0,1,0,0,0,0,0,0,0,1,0
2791,19,L2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
7719,20,L2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
4143,20,R2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,4481,0,0,3,3,0
5943,20,L2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
103,20,R1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,2,0,1,0,0,0,0,0,0,1,2,0
4481,20,R2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,1,0,3,3,0
7673,20,M,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0
191,21,L2,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0
16,21,L1,1,0,0,0,0,2,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,2,365,0,0,1,3,0
365,21,M,1,0,1,0,0,0,0,0,0,0,4,2,0,0,2,0,0,2,0,0,0,0,0,0,0,3,3,0
1792,21,M,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,353,0,0,0,3,0
353,21,R2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0
2500,21,L2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3926,22,L2,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,1,1781,0,0,3,3,0
1781,22,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,1,0
3707,22,L1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0,1,1781,0,0,1,3,0
3555,22,L2,1,0,0,0,0,1,0,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0
5567,22,M,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,1781,0,0,2,2,0
2337,22,R2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,3,3,0
4381,23,M,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0
1024,23,R2,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5084,23,M,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,2,2,0
2502,23,L2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0
236,23,L2,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,1,0,0,0,0,0,0,0,0,1,2,0
2771,23,R1,1,0,0,0,0,0,1,0,0,0,0,1,2,2,3,2,1,0,0,0,0,0,0,0,0,3,3,0
245,24,L2,1,0,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,1,0,0,0,2,2791,0,0,3,3,0
7651,24,R2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,1,1,0
125,24,L1,1,0,0,0,0,2,3,0,0,0,0,2,1,2,2,2,1,0,0,0,0,0,0,0,0,3,3,0
1918,24,R2,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,2,0,0,2,2791,0,0,1,1,0
1218,24,M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0
2791,24,M,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,1,2,0
250,25,L2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0
3146,25,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
3618,25,R2,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
225,25,R2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,3,250,0,0,3,3,0
7885,25,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0
2830,25,L2,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0
